iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.000692393593012233,-0.001954123955583528,-0.0016111090894400308,-0.0004385435808572055,0.000692393593012233,-0.001954123955583528,0.000692393593012233,-0.001954123955583528,-10815.607276960178,-10925.921732211276,-10925.769368897978,-10926.280753486995,-10926.280422794109
1,0.788120058370458,0.7887478727370115,-0.0008552510891647506,-0.001618935162664451,0.025192560138998486,0.032841520886767464,0.0,0.0,-10967.10133548985,-10913.47737762734,-10994.337258501133,-10999.78182198647,
2,0.0,0.0,-0.0032200952747109884,0.0,0.0,0.0,0.0,0.0,-10817.83581310901,-10839.879248734662,-10840.012369638469,-10840.514927282795,
3,0.7117589948073518,0.7146562343004924,0.023086860519155268,0.022830697131401727,0.0,0.0,0.0,0.0,-10736.924618725014,-10674.961250372533,-10762.515960795363,-10771.792399051526,-10771.961080522246
4,0.00022591370147976686,0.0,-0.0003824099409314635,-0.0028886639223549134,0.0,0.0,0.0,0.0,-10842.036697650363,-10925.702883308384,-10923.376403724325,-10926.051396720699,-10926.73121637141
5,0.8387330980292153,0.8421740001626924,0.0006863796963546269,-0.0004293504388350744,0.116634589870439,0.13238349849545233,0.11393913484196316,0.12106631868080013,-11003.77711673985,-10958.120045065052,-11116.489535585326,-11111.324344997312,-11111.323329824563
6,0.0025027289519074284,0.002878528000697158,-0.005556983500553775,-0.008893677668130972,0.11932350744033172,0.13968265047396866,0.0,0.0,-10833.238846087863,-10925.629346226655,-10925.524902619109,-10926.222811842266,-10929.23053044063
7,0.033408942442542,0.8526779788641567,-0.0003346061575015009,-0.0014856235194590558,0.0002897541819023893,0.0005064848866166887,0.0,0.0,-10809.327774846859,-10805.13134113908,-10918.821043150574,,-10925.402209640648
8,0.05054876473825637,0.14087174434073815,0.0017702717390684977,-0.0002538021515822506,0.0011260433799580283,0.000488518314825395,0.0011260433799580283,0.000488518314825395,-10951.77092898354,-10978.460090608256,-10988.759901383155,-10990.74044522703,-10989.707794399139
9,0.004162497788148053,0.0,-0.0013373888019515253,-0.0030247842003192633,0.0,0.0,0.0,0.0,-10846.484065894521,-10884.027628721706,-10883.566069334114,,-10884.563959508141
10,0.0008065306474943187,-0.00018703005664877213,0.00021560637723492266,-0.0018303052465242532,0.0005519328215568777,4.489343139188126e-06,0.0005519328215568777,4.489343139188126e-06,-10765.478268091018,-10851.269210053202,-10853.76614115073,-10851.793200383898,-10851.793155222647
11,0.07652031526428464,0.07573278207163375,-0.001959166440327788,-0.0026949415369359442,0.0023374197449582577,-0.0013477385094305071,0.0023374197449582577,-0.0013477385094305071,-10852.630324507372,-10884.715642555535,-10883.926777379676,-10885.673391943234,-10885.35589667037
12,-0.0016965008955278312,0.0004951898005778471,-0.0017672282072931302,-0.0017797014506907005,0.05577673195100744,0.0580309280836905,-0.00028920796095122244,0.0004951898005778471,-10873.378638192185,-10974.625282709554,-10974.122337880734,-10975.455295472255,-10975.455319332304
13,-0.00021282257348139618,-0.0014350180476114596,-0.0014318072775748106,-0.001892058443367131,0.0064780008922557175,0.018927811809694724,0.018024339744845644,0.014783776708417556,-10856.57399173985,-10971.901363633207,-10971.804610050616,,-10972.513061477548
14,-0.00036009454354445005,-0.002264129112568802,-0.00036009454354445005,-0.002264129112568802,0.0006956275301036035,-0.0004529465619428516,0.0,0.0,-10800.800205334708,-10831.711244330207,-10831.596652343382,-10834.01783971872,-10833.942791703943
